809045369887674368	803553892659146756	Orange Egg	2016-12-14 14:40:22	RT @thirdyisagirl: I found it heartwarming na Meng's kuya Wally escorted her to the SPS stage. ❤️ Si Alden kenekeleg oh. 🙈  #ALDUBTwinsFace…	en	STATUS	0	335	TWITTER
809045366423298049	1213181065	Captain Howepool	2016-12-14 14:40:21	@Orange_Ghost Aww, so cute, but I didn't picture you to look quite like that 😅	en	STATUS	0	0	TWITTER
809045350421917696	532895350	महाराष्ट्र भाजपा	2016-12-14 14:40:17	RT @Dev_Fadnavis: Bought oranges by online transaction at Vidhan Bhavan, Nagpur and inaugurated orange sale through cashless system. #Ipayd…	en	STATUS	0	205	TWITTER
809045345321762816	374021766	ML04orange	2016-12-14 14:40:16	ATTI: ML04Orange Bus 155 on the Orange Line is on Walnut approaching the PSB &amp; Unity Manor-to the Depot: 12/14/2016 9:40:09 AM	en	STATUS	0	0	TWITTER
809045334848638980	35202190	Joanna Backman	2016-12-14 14:40:13	@sammypolsen12 @realDonaldTrump @mike_pence @ScottWalker @SpeakerRyan @PRyan @wisgop King Citron in prison orange.   Looks good!	en	STATUS	0	0	TWITTER
809045312673345536	376453344	✨	2016-12-14 14:40:08	RT @ItsAthletePorn: California high school football team places orange roses at the feet of cheerleader battling leukemia.  https://t.co/YA…	en	STATUS	0	4259	TWITTER
809045310483767296	230080984	Monty Moran	2016-12-14 14:40:08	Making a smoothie? Essential oils like Lime, Orange, Grapefruit, Cinnamon, and Lemon can add an extra boost of... https://t.co/oEu9mGQjXZ	en	STATUS	0	0	TWITTER
809045305144606720	3456480326	Mariyah Kapuswala	2016-12-14 14:40:06	can someone teach me how to take an orange peel off in one part	en	STATUS	0	0	TWITTER
809045285158682624	2728173658	Richard Robertson IV	2016-12-14 14:40:01	RT @TheDen_NHS: Friday Boys Basketball at South Side! Wear your 🔸ORANGE🔸 and support the Bruins! #HoneyTime 🐻🍯🏀	en	STATUS	0	1	TWITTER
809045281857798145	706938107623505922	Lisa T	2016-12-14 14:40:01	RT @leonrestaurants: O’Joy to the world RT for a chance to win a crate of sparkling orange &amp; mango cans. Pick up from your local LEON. Winn…	en	STATUS	0	139	TWITTER
809045277780779010	803553892659146756	Orange Egg	2016-12-14 14:40:00	RT @Vicguillepl: truely a fan @ALDUBTheScreen #ALDUBTwinsFever	en	STATUS	0	4	TWITTER
809045267928535040	299382701	Pablo	2016-12-14 14:39:57	RT @pictoline: Mr. White Mr. Orange Mr. Pink Mr. Blonde Mr. Brown Mr. Blue  Ellos son los miembros clave del gabinete de Donald Trump https…	en	STATUS	0	2318	TWITTER
809045264212361218	633506322	Pisces ♓️	2016-12-14 14:39:56	My mom really trying to force me to drink orange juice I will never 😷😷	en	STATUS	0	0	TWITTER
809045256201113600	703674049331916800	Bea🍃	2016-12-14 14:39:55	I miss Orphan Black. I miss Orange is the new Black. I miss Carmilla. I miss Game Of Thrones.  I miss Once Upon A Time. I miss The 100.	en	STATUS	0	0	TWITTER
809045255429521408	185754311	Julio Guzman P.	2016-12-14 14:39:54	RT @pictoline: Mr. White Mr. Orange Mr. Pink Mr. Blonde Mr. Brown Mr. Blue  Ellos son los miembros clave del gabinete de Donald Trump https…	en	STATUS	0	2318	TWITTER
809045250098470912	2827451926	seren ☼ ☾☮	2016-12-14 14:39:53	Eating the juiciest orange chilling listening to j cole 😎😎😎	en	STATUS	0	0	TWITTER
809045246407536640	3244385789	Fah Q	2016-12-14 14:39:52	RT @zoeorlosky: why the school gotta lock the lunch room like a nigga jus tryna get sum orange juice	en	STATUS	0	1	TWITTER
809045222609063938	3415759385	Rhiannon M	2016-12-14 14:39:47	Layering up the cakes with orange and ginger buttercream... https://t.co/k3r7j5BcE6	en	STATUS	0	0	TWITTER
809045218762723329	727323026824404992	Yuzeyn	2016-12-14 14:39:46	am an orange full of worms https://t.co/0pfaj8wEof	en	STATUS	0	0	TWITTER
809045183950032897	3065842746	Fit, Fyne & Fabulous	2016-12-14 14:39:37	Money green today! Tomorrow will mostly orange and red!  Day 2 of 5 this week is… https://t.co/w1KdAS6spC	en	STATUS	0	0	TWITTER
809045182905778176	2547135566	The Den	2016-12-14 14:39:37	Friday Boys Basketball at South Side! Wear your 🔸ORANGE🔸 and support the Bruins! #HoneyTime 🐻🍯🏀	en	STATUS	1	1	TWITTER
809045174970155009	173602568	Steph 'Pepsi' Ashley	2016-12-14 14:39:35	Get your Christmas drinks in order @CostaCoffee!! Chester only has Gingerbread &amp; Orange available, &amp; still got my order wrong! #Unhappy	en	STATUS	0	0	TWITTER
809045168448045056	177157705	el	2016-12-14 14:39:34	I dreamt about orange luco last night got problem	en	STATUS	0	0	TWITTER
809045164803039232	3133488306	JustSusan	2016-12-14 14:39:33	RT @dmrusse4: Thanks @NPR 4 finally covering insane conflicts of interest of orange octopus and #RussianInterference  why isn't this being…	en	STATUS	0	0	TWITTER
809045164454985729	54519885	The OTJ Online	2016-12-14 14:39:33	RT @IVchat: Can an orange a day keep the doctor away? - https://t.co/CbYYnO0TxS #antioxidants #vitaminC https://t.co/GH2GJJ9hCO	en	STATUS	0	1	TWITTER
809045159623028736	803553892659146756	Orange Egg	2016-12-14 14:39:32	RT @yowsapsap: A few steps away from my son's school is this house. Should get a better vid next time.  #ALDUBTwinsFever https://t.co/dKCxm…	en	STATUS	0	266	TWITTER
809045149007441920	2962392671	Ebnetboy💉	2016-12-14 14:39:29	@The_Orange_Fox good comic	en	STATUS	0	0	TWITTER
